index,title,simpletags,deepertags
69,Chemical Engineer,Perform chemical analysis physical property testing materials products Research design develop production processes Coordinate perform tests Analyze data develop conclusions Communicate results analysis research Evaluate current processes develop improvements safety quality efficiency Create standards specifications processes facilities products tests Assist timelines budgets Install maintain inspect equipment facilities Perform routine calibration troubleshooting instruments Provide training mentorship technical staff Knowledge Batch Chemical Manufacturing process product technology engineering principles batch operations understanding knowledge unit operations filtration particle size reduction purification mixing operations Root Cause Failure Analysis RCFA methodology Process Safety Management Lean manufacturing principles Analytical diagnostic skills Project management skills manufacturing environment Scientific mathematical engineering processes creating SOP`s insulated products valves pipes strainers pipelines Understanding products requirements specifications targeted performance chemicals insulation Observing production processes conducting research  increase efficiency quality project needs design test improve processes equipment facilities Conduct develop manufacturing processes Develop liquids gases electrical currents controlled chemical processes Estimate production management ,Bachelor bachelor's chemical engineering Masters bachelors master masters Science technology
70,Civil Engineer,AutoCAD Civil 3D civil design components roadways sewers water mains storm water management systems site subdivision layout hydrologic hydraulic calculations grading cost estimating erosion sedimentation structural engineering analysis design tasks steel concrete bridge masonry wood structures site investigations design calculations drawings specifications architects ,Engineer Training Certification OSHA Safety Certificate Project Management Professional PMP Certified Construction Manager CCM Master Project Manager MPM LEED AP Building Design Construction LEED Certified Professional Erosion Sediment Control CPESC
71,Computer Engineer,Engineers Designers Developers Project Managers Researching technologies programming solutions build software and hardware Writing creating Troubleshooting database anomalies problems inefficiencies data loss Compiling technical support queries bug fixes software hardware open-source frameworks Spring Boot Django Angular React database technologies relational NoSQL distributed Java Python Go JavaScript mobile application development UNIX Linux environments distributed systems information migration networking systems systems security development shell scripting SKILL Python C C++ JAVA Visual Basic Perl Lisp Agile methodologies frameworks cloud technologies microservice Software Development cloud-native services applications AWS GCP Azure AWS big data technologies Redshift S3 EMR PySpark AWS primitives Lambda API Gateway Redshift AWS Glue SageMaker software engineering development lifecycle including agile methodologies coding standards code reviews source management build processes testing operations data modeling data engineering strategy,Software Engineering Master Certification SEMC Certified Scrum Master CSM Oracle Certified Associate - Oracle9i Database Administrator OCA Microsoft Certified Technology Specialist: .NET Framework 3.5 Windows Workflow Applications MCTS Microsoft Certified Application Developer MCAD Certified Software Development Professional CSDP Certified Systems Engineering Professional CSEP Certified Information Security Manager CISM ISTQB Certified Tester Foundation Level CTFL Certified Software Manager CSM Associate Android Developer Certification Certified Planning Engineer CPE Oracle Certified Expert Java EE 6 Web Component DeveloperObject-Oriented Software Engineering Certified Professional IBM Certified Data Engineer - Big Data Certified Professional Python Programming Certification PCPP1 Sun Certified Web Component Developer Java 2EE SCWCD Certified Energy Manager CEM Certified Chemical Engineer CCE 
72,Data Engineer,Python Java backend development data systems data pipelines Airflow Looker scale Airflow data pipelines Data Engineering libraries built-in features Pandas pyspark SQL data warehouse AWS Athena AWS S3 AWS Redshift Batch processing AWS Batch AWS Glue advanced data transformations batch streaming ETL systems data sources models Build scale data warehouse systems data governance HITRUST compliant security automated deployment schema DevOps deployment operational database development advanced monitoring query optimizations architecture improvements create indexes stored procedures Develop data integrity analysis data processes identifying designing implementing internal data process architecture high-performance ETL software modular process structured JSON unstructured data integrating data SQL relational non-relational Python Scala Java UNIX LINUX command line AWS big data massively parallel processing MPP distributed computing principles predictive analytics data mining machine learning continuous integration practice build automation testing Git Jenkins Maven,Amazon Web Services AWS Certified Data Analytics Specialty Cloudera Data Platform Generalist Certification Data Science Council America DASCA Associate Big Data EngineerData Science Council America DASCA Senior Big Data Engineer Google Professional Data Engineer IBM Certified Solution Architect Cloud Pak Data IBM Certified Solution Architect Data Warehouse V1SAS Certified Big Data Professional
73,Electrical Engineer,Schematic design simulation analog circuits power distribution telemetry monitoring motor control digital circuits microprocessor microcontrollers FPGA SoC memory devices digital transceivers Circuit Analyses worst-case circuit analysis failure modes effects reliability availability rudimentary thermal analysis Layout PCBs outsourced PCB layout Electrical test circuits PCB Design high-speed signal power integrity analysis Electronic Test Equipment Design develop electrical components circuit electrical system bench testing structured tests validate designs Embedded code development Testing automation coding R&D design controls risk management Quality Management System ,bachelor bachelors electrical engineering technology electronics mechanical electronics civil communication communications industrial product design mechatronics robotics telecommunication bachelor's master masters master's automation production 
74,Environmental Engineer,regulatory compliance  identifying compliance issues records air emission monitoring compliance wastewater groundwater monitoring compliance solids hazardous waste monitoring compliance refinery environmental systems wastewater system analyzers air emission RegPerfect database LDAR RCRA NPDES watershed flood management asset management system GIS Floodplain Management FEMA NFIP flood resiliency strategic plan AutoCAD Designing technology pollution control waste management Collecting analyzing environmental data site assessments environmental impact commercial activity human influences environmental conservation management recycling public health water air pollution Identifying critical research renewable energy climate change food water security environmental protection designing management systems design projects comply environmental health regulations environmental investigative policymakers environmental best practices,Registered Environmental Manager Registered Environmental Professional Certified Environmental Safety Compliance Officer Certified Environmental Auditor Registered Industrial Hygiene Professional 
75,Marine Engineer,Monitoring maintenance mechanical systems designs builds tests repairs ships boats underwater craft offshore platforms drilling equipment  blueprints designing engines propulsion systems testing prototypes passenger boats sailboats cruise ships submarines military battleships aircraft carriers Steering control systems Static Dynamic structural analysis classical Finite Element Analysis FEA SolidWorks 3D-CAD SolidWorks Enterprise PDM program electrical hydraulic auxiliary systems Propulsion systems gas turbine diesel engine nuclear reactor boatbuilding American Bureau Shipping ABS Naval Ships International Code Safety High Speed Craft MIL-STD requirements Mechanical electrical systems  Integrated Product Team (IPT) Naval Architecture hydrodynamics mechanical engineering structures materials heat transfer industry standard design recreational vessels cargo ships small passenger vessels cruise ships desired,marine engineering maritime engineering bachelor naval architecture engineer bachelors bachelor's master masters master's mechanical marine science technology science mechanical automation
76,Mechanical Engineer,Plan conceptualize create mechanical designs Develop testing processes perform testing validation Generate working prototypes Create review technical drawings plans specifications computer software vendors contractors project development design process Application Engineer Design Engineer Design Maintenance Engineer Equipment Engineer Mechanical Design Engineer Mechanical Engineer Process Engineer Product Engineer Project Engineer Test Engineer CAD software SolidWorks AutoCAD,Assistive Design Certificate Certified Energy Manager CEM Certified Manufacturing Engineer CMfgE Certified Quality Engineer CQE Certified Systems Engineering Professional CSEP
77,Petroleum Engineer,Design drilling equipment extracting oil gas onshore offshore reserves cost effort feasibility Devise plans methods drill fields recover oil gas Develop modify tools designs installed operated maintained geoscientists geologic formation oil gas reservoir Monitor drilling operations drilling techniques methods Analyzing interpreting monitoring geological formation extraction risks best methods extraction Using surveys testing analysis reservoirs profits low-cost drilling extraction Generating computer-simulated models drilling formation equipment ensuring designing tool equipment extraction managing machinery production costs efficient drill internal divisions free-flowing single well fracture shale beds free gas oil production operations efficient extraction drilling extraction transportation safety environmental regulations Maintaining on-site drilling pumping equipment Developing refining methods extracting petroleum existing wells production analysis forecasting onshore basins production commodity price timing reservoirs Python Numpy Pandas SQL Spotfire,bachelor bachelors bachelor's master masters master's petroleum engineering technology civil mechanical chemical engineer applied
78,Software Engineer,analyse user requirements write test code refining rewriting research design write software programs business applications computer games computer operating systems hardware develop analysing identifying integrate existing software products platforms work together create technical specifications write systems scheduling software graphic artists UX designers developers systems analysts Analyzing information General programming skills Software design Software debugging Software documentation Software testing Software development fundamentals Software development process Software requirements Hadoop Hive Pig Oozie Map Reduce Spark Sqoop Kafka Flume DevOps building deploying infrastructure cloud deployment technologies ansible chef puppet test-driven development automated testing frameworks Scrum Agile development methodologies infrastructure automation technologies Docker Vagrant build automation technologies Maven Jenkins monitoring technologies Nagios Ganglia programming languages Java Python building APIs API services REST SOAP scripting languages Perl Shell Analyze design develop tests test-automation suites Design develop processing platform management technologies Test software development methodology agile environment Provide ongoing maintenance support systems platforms Collaborate cross-functionally data scientists business users project managers Provide recommendations continuous improvement Java Ruby Rails .NET programming languages C++ JScript.NET software development life cycle SDLC system analysis tests deployment Develop flowcharts layouts documentation identify requirements solutions Write testable code Produce specifications determine operational feasibility Integrate software components software system Develop software verification plans quality assurance procedures Document maintain software functionality Troubleshoot debug  upgrade existing systems Deploy programs evaluate user feedback Comply project plans industry standards C++ programming languages relational databases SQL ORM technologies JPA2 Hibernate developing web applications web framework JSF Wicket GWT Spring MVC,Certified Secure Software Lifecycle Professional CSSLP Certified Software Development Professional CSDP Information Systems Core ICCP Software Engineering ICCP Object-Oriented Analysis Design ICCP Database Design Specialist CIW JavaScript Specialist CIWC Programming Language Certified Associate CLA C++ Certified Professional Programmer CPP C Certified Professional Programmer CLP C++ Certified Associate Programmer CPA
79,Architectural Engineer,Study evaluate construction designs blueprints structural integrity safety building styles aesthetics building plans structures prototypes structural mechanical wind loads vibrations earthquakes Design analyze air conditioning systems heating ventilation optimizing energy conservation efficiency construction operations trends developments architectural engineering safe designs building codes material computer-aided design drafting CADD architectural documents building models preparing construction drawings Design heating plumbing lighting ventilation systems Analyze building plans blueprints Direct supervise building compliance standards specifications architects engineers project managers design cost estimates construction materials compliance government housing laws building codes Sketch design building plans drafting CAD programs electrical structural fire protection systems structural integrity seismic vibrations fire alarms lightening protection Archicad Revit Adobe Creative Suite,bachelor bachelors bachelor's architectural engineering civil technology architecture mechanical design interior science 
80,Audio Engineer,voice quality measurement HEAD Acoustics ACQUA HATS digital filters noise reduction echo suppression microphone beamforming AGC MBDRC developing audio systems Linux Android systems network simulators R&S CMU CMW ITU-T 3GPP ETSI voice communications Acoustic electrical Soundcheck Audio Precision acoustics loudspeakers microphones digital audio digital signal processing Define tune voice processing algorithms coordinate algorithm enhancements acoustic engineers loudspeaker microphone architecture devices far field voice quality speech recognition performance audio processing signal chain characteristics acoustic transducers audio codecs audio post-processing Audacity Adobe Audition audio test systems SoundCheck Head Acoustics ACQUA audio production live broadcast productions Video Technical Operations equipment workﬂow live broadcast audio production live broadcast audio operation maintenance broadcast audio systems live audio consoles Calrec intercom systems RTS audio routing Dante Protocol RF microphones IFBs IEMS stage monitors audio systems management mixing mix clean broadcast productions IFB RTS non live audio systems remote podcasts voiceovers live tape productions stadiums studios networks broadcast trucks microphone types audio DSPs performance characteristics Audio DSP programming system design use configure patch large-format digital audio mixing consoles SSL mixing consoles Dante MADI room sound live-transmission L’acoustics loudspeakers identifying signal routing monitoring quality assurance technical director camera operator editor,Apple Certified Pro Final Cut Pro X Certified Audio Engineer CEA
81,Industrial Engineer,distribution logistics 3D simulation software FlexSim AutoCAD C coding languages Catia Solidworks Revit layout material flow material flow analysis Material Flow System Design Develop material flow models project material flow headcount assess congestion execute buffer quantities manufacturing engineering Develop innovative cost-effective solutions packing density sustainability automated Create 3D dynamic simulation models design bulk material handling systems AutoCad Material Handling Equipment conveyors sortation robotics data mining techniques SQL distribution conveyor systems 3D drawing capabilities demo 3D google SketchUp key performance indicators initiate process improvements operation statistics quality engineering tools building layouts conveyors shelving work stations Develop revise Standard Operating Procedures SOP development RFP ROI Analysis Procurement hardware software technology building development Labor Management System Review production schedules engineering specifications manufacturing methods procedures activities Estimate production costs cost saving methods product design Draft design layout equipment materials workspace maximum efficiency drafting tools computer quality control procedures develop production design standards utilization material,Six Sigma Green Belt Six Sigma Black Belt Project Management Professional PMP Certified Manufacturing Engineer CMfgE Six Sigma Yellow Belt Certified Quality Engineer CQE Certified Six Sigma Greenbelt CSSGB Certified Product Manager CPM Certified Systems Engineering Professional CSEP
82,Materials Science Engineer,metal materials production manufacturing Testing assessing materials Developing prototypes scale-up phase Quality Control testing suitability feasibility profitably environmental impact material CAD materials products designs weight strength conductivity cost Analyze product test results Evaluate product material durability performance raw materials quality control product consistency research development utilities companies oil gas companies developing modifying testing evaluating materials planning organising inspections maintenance design objectives heat resistance strength weight cost Conduct raw materials finished products quality standards specifications Plan conduct laboratory operations development fabrication procedures materials Analyze product issues material development process metal alloys mechanical thermal treatments material mechanical designing complex components 3D CAD modeling software integration models CAD Siemens NX KeyCreator Solidworks inventor CREO Computer Aided Engineering CAE  polymer processing Material selection Coatings paints PVD Optical coatings Reliability Validation Testing Failure Analysis finishing coating technologies metals anodization PEO etching primers materials analysis characterizations polymer materials product development Ultra-high accuracy digital microscopes Keyence VHX VR VKX FTIR Spark Optical Emission Spectroscopy Shore Rockwell Vicker’s Hardness testing SEM EDX DSC XRF Metallography Instron mechanical test systems polymer chemistry adhesives polymer physics,mining engineering mechanical materials science metallurgy Bachelor bachelors bachelor's master masters master's technology engineering chemical aerospace metallurgical polymer industrial production applied electronics electrical industrial production material instrumentation 
83,Mining and Geological Engineer,Design open-pit underground mines Supervise construction mine shafts tunnels underground operations Devise methods transporting minerals processing plants miners engineers Monitor production land reclamation water air pollution sustainability mines develop equipment direct mineral-processing minerals dirt rock sub-surface surveys identify potential land mining development sites ground support systems processes equipment safe economical environmentally sound extraction construction activities unsafe geological conditions equipment design implement coordinate mine safety programs Inspect mining unsafe structures equipment detect toxic gases recommend measures installation ventilation shafts Select develop mineral location extraction production methods safety cost deposit,bachelor bachelors bachelor's master masters master's engineering technology mining geological mineral
84,nanoengineer,fabricate characterize deliver assemblies cutting-edge experiments laser facilities characterization assembly precision-fabricated sub-millimeter components micron-sized micron tolerances highly-accurate laser robotic assembly systems laser cutting systems glue injection jigs 3D printing systems Characterization duties stereo microscopes x-ray imaging microscopes coordinate measurement automated microscopes ultra-precision micro balances other highly-accurate metrology instruments design tolerances iterate design details engineering scientific technical Obtains analyzes data reports presentations multi-step inspection Designs builds procures necessary tools fixtures quality assurance packaging shipment precision components CAD SolidWorks implement production processes nanoscale designs produce modify materials devices systems unique molecular macromolecular composition Operate advanced microscopy equipment manipulate nanoscale objects images measurements atomic force microscopy scanning electron microscopy optical microscopy particle size analysis zeta potential analysis nanotechnology research production design conduct experiments materials components devices systems Collect compile nanotechnology research engineering data Monitor hazardous waste cleanup procedures nanocomposites thin films carbon nanotubes polymers inorganic coatings ,bachelor bachelors bachelor's master masters master's nanoengineering science electrical electronics technology
85,Nuclear Engineer,Nuclear Engineering Physics nuclear fission fusion processes cross sections nuclear interactions mathematical calculus differential equations linear algebra Programming Python C++ Matlab Fortran Provides independent neutronics radiation material activation analysis GEANT-4 TOPAS MCNP diagnostics measurements medical plasma-material surface interaction neutron beam simulations codes tools Study x-rays neutron transport neutron production current future experiments Develop custom analytical codes simulating predicting irradiation Generate physics engineering analysis medical device design testing phantom QA device modeling particle accelerator SRIM CAD nuclear fissile materials nuclear fuel cycle radiological safety fuel storage nuclear WMD WMD delivery systems destruction dismantling warheads delivery fuel reloads fuel core thermal hydraulic design LOCA non-LOCA containment transient analysis logic ,nuclear science engineering bachelor bachelors bachelor's master masters master's technology mechanical chemical science advanced physics sustainable application technology electrical electronics civil nuclear energy application management diploma 
86,structural engineer,Design structures buildings bridges structural models computer-aided design loads pressures environmental safety guidelines materials structural specifications on-site construction methods regulations Hands-on AutoCAD designs drawings pressures loads stresses strength construction materials technical safe designs planning building regulations architects engineers Data-driven mindset analysis design sectors utilities functions datacenters Safety Quality structural engineering drafters RC Steel materials detailing drawings compressors pumps static dynamic equipment storage tanks cooling tower basin sump pipe rack foundations structure foundations civil pipe supports water tanks miscellaneous foundations shelters platforms ladders US design codes ASCE-7 AISC 360 ASME STS-1 BPV B31.3 API EuroCodes NBCC AS NZ Russian Chinese IS Codes pressure vessel stack pressure piping steel structure design STAAD Pro RAM Connections LimCon COMPRESS CAESAR MecaStack PRG Software ANSYS welding fabrication layouts engineering fabrication drawings national internal standards,bachelor bachelors bachelor's technology engineering master masters master's civil science structural naval architecture ship mechanical building
87,Telecommunications Engineer,Configure install network devices services Firewall Switches routers VPN QoS LAN WLAN architecture server network infrastructure security tools policies analyze implement security protocols security issue hardware security authentication protocol routing protocols MPLS HAIPE IP QOS WAN server switches Network security IT security web security gateways perimeter security network access controls endpoint security Microsoft Linux  Mac OS PaloAlto Firewall Cisco Nexus Cisco Catalyst Meraki network infrastructure network hardware network infrastructure devices firewall wireless access points Switches routers network infrastructure protocols Develop maintain automation integration cloud environments Network Engineers design code  deployment orchestration integration workflows Develop automation technology building maintaining private cloud Research emerging automation technologies Design implement manage network security cloud security firewalls endpoint protection cross functional environment DevOps Agile project management methodology automation engineering systems administration development automation development Ansible automation technologies Python Perl Java Git GitLab GitHub BitBucket software-sharing technologies OpenStack Docker  Kubernetes Linux operating system open-source Linux-based F5 load balancing InfoBlox DNS Cisco Firewalls Routers switches cloud transformation Azure AWS,Certified Telecommunications Network Specialist CTNS Certified Telecommunications Subject Matter Expert CTSME Certified IP Telecom Network Specialist CIPTS Certified Telecommunications Analyst CTA Certified VoIP Analyst CVA Certified Wireless Analyst  CWA Nokia Networking Routing Specialist NRS ICisco Certified Internetwork Expert Cisco Certified Design Expert CCDE Certified Convergent Networking Technologies Nokia Service Routing Architect SRA Nokia Mobile Routing Professional Juniper Networks Certified Professional Data Center JNCIP
88,Thermal Engineer,design analysis Icepak FloTHERM thermal designs Designing thermal solutions thermal mitigation server datacenters System level validation debug Thermal Power KPIs performance tuning thermals sharing performance tuning CPU GPU CPU Central Processing Unit GPU Graphics Processing Units thermal dissipation thermal measurements C C++ Java Python Software Engineering Liquid cooling immersion technologies Mathematical Methods Object-Oriented Programming OOP Scientific Analysis Software Development Lifecycle SDLC heatsink TIM heat transfer fluid mechanics CFD electro-mechanics product development thermal simulation tool FlothermXT flotherm Icepak telecom HW development refrigerant cycle thermal dynamics fluid mechanics power electronics HV compressor HV heater refrigerant coolant DV PV Thermal system vehicle integration powertrain power electronics vehicle integration body structure energy storage system thermal component packaging installation optimize thermal components integrated thermal management suppliers design evaluation validation thermal components hardware testing thermal management system hardware functionality CAD DFMEA EMC EMI Thermal Analysis articulation automation temperature mapping orbit definition Maya TMG NX Thermal STK SINDA FEMAP NASTRAN ANSYS MATLAB Python Visual Basic VB.NET C# Java ,bachelor bachelors bachelor's master masters master's engineering technology mechanical physics science Mechanical Engineering electrical Engineering chemical thermal sciences science fluids aerospace aeronautical astronautical fluid mechanics solar energy 
89,Transport Engineer,research planning design Design transportation systems airports commuter trains highways streets bridges drainage structures roadway lighting computer-aided design CAD planning design traffic micro-simulation modelling design improve signs develop control systems vehicle-to-vehicle V2V communications driverless cars traffic flow traffic Design engineer drainage erosion sedimentation control systems transportation projects technology materials construction traffic safety traffic operations maintenance highways bridges airports railways structures Designs highways bridges drainage structures intelligent transportation traffic management systems technology traffic operations theory utilities roadway lighting traffic control devices intelligent transportation systems ITS development maintenance traffic management policies procedures monitor traffic flow conditions operational improvements transportation system existing highway systems materials equipment location design construction highways bridges structures highway laws codes standards highway engineering materials techniques design construction highways bridges ,bachelor technology engineering civil engineering masters master master's transport planning highway transportation transportations systems planning science planning mechanical automobile automotive electrical electronics communication communications
90,Vehicle Engineer,autonomous vehicle industry robo-taxi programs Writing scripts Python C++  CAD modeling vehicular embedded systems hardware software accomplished project delivered product system components consisting mechanical electrical thermal CAN control system automotive environment complex mechanical electrical system diagrams engineering root cause solve vehicle hardware system issues sensor benchmark testing hardware configuration autonomous vehicle hardware build Automotive Robotics industry complex system component design engineering testing manufacturing,Bachelor bachelors bachelor's masters master's Master degree technology Automotive Mechanical Electrical Engineering automotive automobile electrical mechanical science robotics mechatronics aerospace sciences systems mechatronics communication aerospace telecommunication electronics mechanics vehicle
91,Public Health Worker,health management policy disasters emergencies health education communication management administrative health regulations policy making law business finance writing public health certification programs sociology disasters public health industry  biostatistician epidemiologist environmental scientist engineer project manager environmental health health educator water quality specialist public health officer community health workers health safety engineer patient advocate public health workers  health hazards air pollution climate change science electromagnetic fields sea levels acid rain greenhouse gases behavioral science health education biostatistics international global health epidemiology,Certified in Public Health CPH First Aid CPR AED Instructor Basic Life Support BLS Certified Health Education Specialist CHES Certification Forensic Social Work CFSW Master Certified Health Education Specialist MCHES
92,Health/Medical Journalism and Medical Writer,ethics principles medical content terminology medical information journalism public health,Medical Writer Certified MWC
93,Clinical Forensic Medical Examiner,Perform autopsies Evaluate historical law-enforcement investigative information Collect medical evidence Document sexual assault Reconstruct a cause of death medical training forensic pathologists toxicology wound ballistics trace evidence DNA technology forensic serology Collects preserves evidence toxicologic samples autopsy autopsies extraction fluids tissue samples,Certified Phlebotomy Technician CPT Medical Assistant Emergency Medical Technician EMT Registered Medical Assistant Medical Examiner Certification Certified Billing Coding Specialist CBCS Emergency Medicine Certified Medical Office Manager CMOM
94,Medico-Legal Advisor,Defending clinical negligence claims Reviewing fact-checking statements submission solicitors HM Coroner Preparing clinicians evidence witnesses court Providing emergency advice healthcare professionals dispute resolution mediation witness claimant defence solicitor firms Handling non-clinical staff members visitors Teaching healthcare professionals disseminating learning legal ,bachelor medicine bachelor surgery doctor medicine forensic science medicine post graduate medical law ethics biophysics masters master master's business administration management hospital post graduate care health LLB homeopathic healthcare internal ethics dental diploma radiology 
95,Medical/Pharmaceutical Researcher,devising planning conducting research trials conduct research health status longevity clinical investigations human diseases lab work Clinical Trial Management System CTMS Electronic Document Management System EDMS clinical research studies protocol standard operating procedures good clinical practice GCP guidelines applicable regulatory requirements Perform site selection initiation monitoring contracted scope work GCP guidelines informed consent document  procedures Negotiate study budgets site contracts Provide monitoring visits protocols Administer protocol study-related quality integrity conduct protocol regulations quality CPM  line manager medical records protocol deviations risks subject safety data integrity investigational product accountability Study Monitoring,ACRP Certified Professional Clinical Research Coordinator Clinical Research Associate Principal Investigator ACRP Medical Device Professional Subspecialty ACRP Project Manager Subspecialty Medical Assistant Certified Nurse Assistant CNA Certified Phlebotomy Technician CPT Registered Medical Assistant Certified Clinical Medical Assistant NHA Emergency Medical Technician EMT Nationally Certified Medical Assistant NCMA Certified Medical Administrative Assistant CMAA Certified EKG Technician CET
